"Year","lay_date","lay_mean","doy95"
1961,"1961-04-24",113.835227272727,38
1962,"1962-05-09",128.642335766423,70
1963,"1963-05-05",124.289156626506,67
1964,"1964-05-07",127.571942446043,56
1965,"1965-05-01",120.923636363636,50
1966,"1966-05-08",127.128205128205,55
1967,"1967-05-05",124.029197080292,58
1968,"1968-05-01",121.671875,56
1969,"1969-05-07",126.422535211268,53
1970,"1970-05-08",127.83125,58
1971,"1971-05-06",125.567441860465,52
1972,"1972-04-30",120.847290640394,54
1973,"1973-05-03",122.694300518135,46
1974,"1974-05-05",124.030674846626,52
1975,"1975-05-03",122.942857142857,42
1976,"1976-04-30",120.172413793103,43
1977,"1977-05-05",124.31884057971,49
1978,"1978-05-07",126.496402877698,55
1979,"1979-05-08",127.95625,66
1980,"1980-04-27",117.426666666667,48
1981,"1981-04-29",118.413043478261,44
1982,"1982-04-30",119.731707317073,44
1983,"1983-04-30",119.99710982659,39
1984,"1984-05-08",128.339207048458,54
1985,"1985-04-28",117.491803278689,40
1986,"1986-05-10",129.495238095238,51
1987,"1987-04-24",113.215189873418,31
1988,"1988-05-02",122.778985507246,43
1989,"1989-04-23",112.967441860465,36
1990,"1990-04-18",107.392857142857,30
1991,"1991-04-26",115.4,37
1992,"1992-04-25",115.85,37
1993,"1993-04-22",111.78025477707,31
1994,"1994-04-28",117.667721518987,35
1995,"1995-04-20",109.324159021407,31
1996,"1996-04-29",119.908854166667,43
1997,"1997-04-14",103.785932721713,25
1998,"1998-04-27",116.078787878788,37
1999,"1999-04-24",113.451737451737,36
2000,"2000-04-25",115.642857142857,35
2001,"2001-05-03",122.789473684211,45
2002,"2002-04-15",104.403076923077,24
2003,"2003-04-25",114.018518518519,34
2004,"2004-04-19",109.918149466192,29
2005,"2005-04-25",114.414376321353,35
2006,"2006-04-26",115.949748743719,36
2007,"2007-04-18",107.489130434783,24
2008,"2008-04-24",114.727488151659,37
2009,"2009-04-18",107.451298701299,28
2010,"2010-04-21",110.457865168539,36
2011,"2011-04-15",104.166666666667,23
2012,"2012-04-17",107.819628647215,38
2013,"2013-05-04",123.393794749403,49
2014,"2014-04-16",105.498516320475,34
2015,"2015-04-21",111,NA
